"pid","story","vote_yes","vote_no"
986,"Gauss proved that there are more real numbers than integer numbers, by counting them.",37,1
766,"Gauss plays basketball with a Riemann sphere.",35,1
1073,"Gauss solves Navier-Stokes equations by hand.",15,1
773,"Gauss chooses his lotto numbers from an undecidable set.",26,4
897,"Gauss can square the circle and trisecate the angle with compass and straightedge",19,4
911,"The universe isn't expanding, it is just making more room for Gauss's ideas",32,1
912,"Protons suffered an emotional breakdown.  Gauss said ""keep it together"" and they haven't decayed since.",27,2
858,"Gauss knows the last 4 digits of Pi",19,5
854,"When Carl Gauss is solving the A+B problem, he always reduces it into a NP-hard problem in O(1) time and then solve it in O(1) time.",19,1
855,"If Gauss finds no correlation, they're independent.",17,0
857,"Gauss can exactly determine the position and the momentum of a particle with absolute accuracy!",22,7
833,"Parallel lines intersect anywhere Gauss wants them to.",14,4
910,"Gauss knows if Schrödinger's cat is alive or dead, and also what collar it wears",16,2
900,"Whenever Gauss tries to solve a problem in R^4, he generalizes the problem for R^n and then makes n=4.",96,16
901,"Once, Fermat contrariated Gauss, and the result was ""The Last Fermat Theorem"" (bye bye Fermat!)",13,7
906,"Gauss doesn't know what the Uncertainty principle is, because he is certain of everything.",20,4
903,"Gauss discovered non-euclidean geometry, but did not publish it, holding mathematics back for half a century (this one is actually true!)",31,2
1028,"Gauss had a theory of arithmetic that was consistent and complete. Also, he proved the incompleteness theorems. When God uttered ""But ... isn't there a contradic-"" Gauss disproved his existence.",22,9
779,"Some numbers are transcendental because Gauss didn't think they were rational enough.",17,0
1100,"Gauss is an exclusive member of an empty set.",60,4
1217,"When Gauß died, he did not leave any conjectures but excersises.",43,2
818,"Gauss could solve an n-dimensional Rubik hypercube. He tried just once.",10,3
798,"Gauss once said suppose sqrt(2) = p/q where p&q are integers. He found 2 such integers.",16,5
1180,"Gauss can draw every non-Lebesgue-measurable set.",18,3
1181,"Gauss knows the next random number",64,3
945,"Gauss can draw parallel lines on a sphere.",10,3
947,"Gauss can recite all the digite of pi - backwards.",23,6
1071,"Cayley's theorem is true because Gauss had only created permutation groups.",8,0
984,"When Gauss plays as player A, the player A has the winning strategy. When Gauss plays as player B, the player B has the winning strategy.",37,2
954,"First the earth was without math. And Gauss said, ""Let there be math"". And it was so. And Gauss saw that math was good; and Gauss separated math from everything else. And that was the first day.",27,6
955,"Gauss's mom never tells him his birthday. Gauss calculates it.",17,2
980,"The God Particle is actually nature's tribute to Gauss",15,6
1059,"When Gauss was cremated, he rebuilt himself into two copies of himself using the Banach-Tarski theorem",35,4
1060,"Gauss can perfectly calculate Chaitin's constants.",11,4
1061,"If mathematicians were Turing machines, Gauss would be the Busy Beaver.",21,3
1098,"When Gauss decides to turn left or right, it's spontaneous symmetry breaking.",27,3
1099,"When Gauss plays Ehrenfeucht-Fraïssé game, he always wins.",8,1
1134,"Gauss once proved the Fundamental Theorem of Algebra by explicitly writing out every nonconstant polynomial over the complex numbers and writing each as a product of linear factors.",46,11
1235,"Heisenberg came up with the Uncertainty Principle because he was not as certain as Gauss.",75,10
846,"Gauss can construct an atomic formula consisting solely of quantifiers and logical connectives.",7,1
1026,"The continuum hypothesis is independent from ZFC because Gauss thought it is more fun to have two theories there.",10,1
1027,"The most precise statement of the well-ordering theorem is: Gauss has bothered to well-order every set. Since we do not know if he has, it is undecidable.",10,1
848,"Gauss's ant can escape Langton's highway.",8,0
804,"Gauss knew the general solution to the n-body problem.",8,1
805,"Gauss can solve any Rubik's cube in only 1 move. ",49,19
812,"Gauss can count to aleph one.",28,3
815,"The only thing Fermat could really prove is that Gauss is always correct.",10,1
816,"Gauss can fill each of m pigeonholes with n pigeons such that no hole contains more than one pigeon, regardless of whether m > n.",18,1
817,"Soon, infinity cannot exist any longer. Even the largest numbers cannot run away from Gauss for ever.",16,5
907,"Gauss builds the Mandelbrot set with ruler and compass.",32,2
807,"In His great Elimination, Gauss gave us the Triangulars.",16,1
808,"You'll get the Error when you try to integrate the Gaussian.",33,3
1174,"Gauss can choose one sock from infinity pairs without the Axiom of Choice.",24,2
1296,"Gauss can draw circles with a straight edge and lines with a compass",48,9
2488,"Gauss can grow corn in Z6",25,4
